sku,gender,category,sub_category,article_type,base_colour,season,year,usage,product_display_name,attributes,image_url,price,msrp,currency,review_count,ratings,brand
SKU000013,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Men Ferrari Grey T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product13.jpg,2139,2836,INR,908,4.0,Puma
SKU000014,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Men Ferrari Vintage Black Polo T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product14.jpg,2114,2609,INR,856,4.2,Puma
SKU000015,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Ballistic Spike White Green Shoe,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product15.jpg,3451,4508,INR,497,4.5,Puma
SKU000016,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Ballistic Rubber Shoe,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product16.jpg,1534,2287,INR,924,4.1,Puma
SKU000017,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Men Basket-Biz Sneaker,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product17.jpg,3352,4475,INR,216,4.6,Puma
SKU000018,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Men's Basket Bump Sneaker,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product18.jpg,3064,3478,INR,583,4.3,Puma
SKU000019,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Men's Speed Cat Shoe,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product19.jpg,2130,3209,INR,419,4.1,Puma
SKU000020,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Men's Furore White Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product20.jpg,857,1363,INR,30,4.5,Puma
SKU000021,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Men's Ducati Sneaker,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product21.jpg,1526,2306,INR,1117,4.1,Puma
SKU000022,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Cell Exsis Sneaker,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product22.jpg,3268,3865,INR,210,4.7,Puma
SKU000023,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Jiyu Slip On Sneaker,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product23.jpg,2059,2971,INR,193,4.7,Puma
SKU000024,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Cat Trainer-WBL Football,"{'material': 'Cotton', 'sizes': 'Free Size'}",product_images/product24.jpg,2264,3189,INR,41,3.9,Puma
SKU000025,Unisex,Sporting Goods,Sports Equipment,Footballs,Orange,Fall,2010.0,Sports,Power Cat Trainer-OB Football,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product25.jpg,1794,2969,INR,775,3.6,Puma
SKU000026,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Power Cat Trainer-WR Football,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product26.jpg,3217,4184,INR,542,4.3,Puma
SKU000027,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Power Cat Hard Ground Football,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product27.jpg,3510,4261,INR,67,4.6,Puma
SKU000028,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2010.0,Casual,Men Hoops Athletic Navy Sweatshirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product28.jpg,3879,4952,INR,223,4.4,Reebok
SKU000029,Women,Apparel,Bottomwear,Track Pants,Blue,Fall,2010.0,Sports,Track Pants Women Blue,"{'material': 'Cotton', 'sizes': '26, 28, 30, 32, 34, 36'}",product_images/product29.jpg,1870,2313,INR,965,4.8,Reebok
SKU000030,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010.0,Sports,Black Track Pant,"{'material': 'Stretch Cotton', 'sizes': '26, 28, 30, 32, 34, 36'}",product_images/product30.jpg,810,1702,INR,1114,4.5,Reebok
SKU000031,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010.0,Sports,Men trackpant- male Track Pants,"{'material': 'Denim', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product31.jpg,2146,2770,INR,581,4.7,Reebok
SKU000032,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010.0,Sports,Track Pants Jet Black,"{'material': 'Cotton', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product32.jpg,3666,4782,INR,580,4.4,Reebok
SKU000033,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010.0,Sports,Women Boat-Neck Wildberry Sweatshirt,"{'material': 'Polyester', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product33.jpg,975,1326,INR,1017,4.3,Reebok
SKU000034,Women,Apparel,Topwear,Jackets,Navy Blue,Summer,2011.0,Casual,Navy Jacket,"{'material': 'Cotton', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product34.jpg,3161,4031,INR,365,3.8,Reebok
SKU000035,Women,Apparel,Topwear,Jackets,Black,Summer,2010.0,Sports,Knit Rib Women Black Jacket,"{'material': 'Polyester', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product35.jpg,2626,3155,INR,63,4.8,Reebok
SKU000036,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Orange & White Striped Polo T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product36.jpg,3972,4778,INR,649,4.3,Reebok
SKU000037,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Men White Polo Tshirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product37.jpg,1522,1969,INR,548,3.8,Reebok
SKU000038,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,T-shirt White Polo Tshirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product38.jpg,3689,4588,INR,803,4.0,Reebok
SKU000039,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010.0,Casual,Men Navy Blue Polo T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product39.jpg,3018,3620,INR,492,4.2,Reebok
SKU000040,Men,Apparel,Topwear,Tshirts,White,Summer,2010.0,Sports,Men's Shoot White T-Shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product40.jpg,2867,3717,INR,1068,4.5,Reebok
SKU000041,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Sports,Men Shoot T-Shirt Red,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product41.jpg,1757,2891,INR,986,4.8,Reebok
SKU000042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2010.0,Sports,Men United Runner White,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product42.jpg,1463,1763,INR,346,3.7,Reebok
SKU000043,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010.0,Sports,Men Micro Shorts Grey and White,"{'material': 'Cotton', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product43.jpg,3996,4731,INR,313,3.7,Reebok
SKU000044,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010.0,Sports,Men Micro Shorts,"{'material': 'Polyester', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product44.jpg,3094,4237,INR,52,4.6,Reebok
SKU000045,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010.0,Sports,Men Micro Shorts Black and White,"{'material': 'Cotton', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product45.jpg,1824,2693,INR,962,4.2,Reebok
SKU000046,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2016.0,Casual,Navy Knit Rib Jacket,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product46.jpg,3584,3980,INR,228,4.0,Reebok
SKU000047,Unisex,Accessories,Bags,Backpacks,Red,Summer,2011.0,Casual,Unisex Red Backpack,"{'material': 'Cotton', 'sizes': 'Free Size'}",product_images/product47.jpg,1796,2799,INR,1173,4.5,Reebok
SKU000048,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Sports,Silver-Black Laptop Backpack,"{'material': 'Cotton', 'sizes': 'Free Size'}",product_images/product48.jpg,3346,3936,INR,323,4.6,Reebok
SKU000049,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2010.0,Sports,Men's Hex Run Pure Silver Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product49.jpg,1460,1889,INR,938,3.7,Reebok
SKU000050,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men Winning Stride White Red,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product50.jpg,2210,3281,INR,363,4.4,Reebok
SKU000051,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2010.0,Sports,Men's Ventilator Ubiq Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product51.jpg,871,1373,INR,1075,4.1,Reebok
SKU000052,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Frisker LP Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product52.jpg,1740,2239,INR,241,3.9,Reebok
SKU000053,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's White High Wire Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product53.jpg,3147,4287,INR,1121,3.6,Reebok
SKU000054,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,Men Playdry Full Sleeved T-shirt Red,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product54.jpg,3517,4030,INR,612,4.6,Reebok
SKU000055,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Men Green Polo T-shirt,"{'material': 'Cotton Blend', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product55.jpg,1111,1877,INR,361,4.4,Reebok
SKU000056,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Men Black Polo T-shirt,"{'material': 'Cotton Blend', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product56.jpg,3784,4227,INR,626,4.1,Reebok
SKU000057,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Mens Lagoon Black T-shirt,"{'material': 'Cotton Blend', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product57.jpg,1203,1573,INR,784,4.3,Reebok
SKU000058,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,Men Play Hard Cotton Green T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product58.jpg,1928,2771,INR,316,4.1,Reebok
SKU000059,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Men Blue Polo T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product59.jpg,3276,3599,INR,766,4.3,Reebok
SKU000060,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010.0,Sports,Deck Black Backpack,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product60.jpg,3095,3856,INR,580,4.8,Puma
SKU000061,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Women Black Pink Frisker Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product61.jpg,3905,4818,INR,957,4.2,Reebok
SKU000062,Women,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Women White Blue Frisker Shoes,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product62.jpg,986,2048,INR,294,3.9,Reebok
SKU000063,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Calibre Convertible Spike Shoe,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product63.jpg,901,1432,INR,839,4.2,Puma
SKU000064,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Men's Calibre Rubber Shoe,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product64.jpg,1646,2737,INR,899,3.8,Puma
SKU000065,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Men's Game Point Shoes,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product65.jpg,3684,4406,INR,571,3.9,Puma
SKU000066,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Men White Sneakers,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product66.jpg,2635,2992,INR,66,4.5,Puma
SKU000067,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2010.0,Casual,Men's Choco Brown Casual Shoes,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product67.jpg,3243,4335,INR,935,4.4,Puma
SKU000068,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Men Graffiti FX Shoes,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product68.jpg,3324,4399,INR,1198,3.8,Puma
SKU000069,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Mens Slim Fit Black Polo T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product69.jpg,853,1385,INR,473,3.9,Puma
SKU000070,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Mens Racing White T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product70.jpg,2830,3676,INR,652,4.7,Puma
SKU000071,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Mens Ocean Racing Blues T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product71.jpg,2888,3337,INR,693,4.4,Puma
SKU000072,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,Mens One Love T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product72.jpg,3719,4664,INR,451,3.8,Puma
SKU000073,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010.0,Casual,Men's Jamaica Jam Navy Blue T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product73.jpg,3973,4719,INR,1005,4.7,Puma
SKU000074,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Men's Jamaica Jam Blues T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product74.jpg,2916,3586,INR,394,3.8,Puma
SKU000075,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Mens Reggae All Night White T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product75.jpg,1450,2402,INR,840,4.3,Puma
SKU000076,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Mens Reggae All Night Blues T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product76.jpg,2163,2495,INR,86,4.2,Puma
SKU000077,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Sports,Mens Reggae All Night Green T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product77.jpg,1867,2674,INR,960,4.1,Puma
SKU000078,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,Mens One Love Reggae Polo T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product78.jpg,1702,2481,INR,495,4.2,Puma
SKU000079,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Mens Cricket Way of Life T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product79.jpg,3815,4729,INR,1170,4.0,Puma
SKU000080,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Mens Keyboard Sidebar Black Polo T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product80.jpg,1813,2406,INR,763,4.4,Puma
SKU000081,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Mens Keyboard Sidebar White Polo T-shirt,"{'material': 'Cotton Blend', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product81.jpg,2558,3332,INR,803,4.6,Puma
SKU000082,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Mens Colour Splash T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product82.jpg,3888,4775,INR,382,4.3,Puma
SKU000083,Women,Footwear,Shoes,Sports Shoes,Purple,Fall,2011.0,Sports,Women Eco Funky Shoes,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product83.jpg,1006,1358,INR,270,4.6,Puma
SKU000084,Women,Apparel,Topwear,Tops,Yellow,Fall,2010.0,Casual,Women Yellow Sleeveless Top,"{'material': 'Cotton Blend', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product84.jpg,3030,3797,INR,596,4.2,Puma
SKU000085,Women,Apparel,Bottomwear,Shorts,Green,Fall,2010.0,Casual,Women's Island Green Shorts,"{'material': 'Cotton', 'sizes': '26, 28, 30, 32, 34, 36'}",product_images/product85.jpg,3633,4356,INR,564,4.4,Puma
SKU000086,Women,Apparel,Bottomwear,Shorts,Purple,Fall,2010.0,Casual,Women's Island Shorts Purple,"{'material': 'Polyester', 'sizes': '26, 28, 30, 32, 34, 36'}",product_images/product86.jpg,1152,1957,INR,686,4.1,Puma
SKU000087,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,Men's Heroes T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product87.jpg,2938,3834,INR,1155,4.7,Puma
SKU000088,Women,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Women Femme Fatale T-shirt,"{'material': 'Cotton Blend', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product88.jpg,3097,3441,INR,629,3.8,Puma
SKU000089,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,Women's Powergirls T-shirt,"{'material': 'Cotton', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product89.jpg,1994,2814,INR,307,4.0,Puma
SKU000090,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010.0,Sports,Men's Grey Sports Shorts,"{'material': 'Polyester', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product90.jpg,3273,4076,INR,211,4.0,Puma
SKU000091,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2010.0,Casual,Men's Grey Track Pants,"{'material': 'Cotton', 'sizes': '32, 34, 36, 38, 40, 42'}",product_images/product91.jpg,3837,4326,INR,879,4.8,Puma
SKU000092,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,Women Yellow Printed T-shirt,"{'material': 'Cotton', 'sizes': 'XS, S, M, L, XL, XXL'}",product_images/product92.jpg,1984,2735,INR,216,3.6,PUMA
SKU000093,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Men's African Splash T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product93.jpg,2970,3879,INR,488,4.3,Puma
SKU000094,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Mens Drifter Black Flip Flop,"{'material': 'Cotton', 'sizes': 'Free Size'}",product_images/product94.jpg,2694,2999,INR,764,3.8,Puma
SKU000095,Men,Footwear,Sandal,Sandals,Navy Blue,Fall,2010.0,Casual,Men Trek Navy Blue Floater,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product95.jpg,1238,1998,INR,902,4.1,Puma
SKU000096,Men,Footwear,Sandal,Sandals,Brown,Fall,2010.0,Casual,Men Brown Sandal,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product96.jpg,2845,3423,INR,269,3.7,Puma
SKU000097,Men,Footwear,Sandal,Sandals,Olive,Fall,2010.0,Sports,Men Gypsy Olive Sandals,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product97.jpg,2367,3214,INR,369,4.4,Puma
SKU000098,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Casual,Men F1 Black Sandal,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product98.jpg,811,1190,INR,511,4.7,Puma
SKU000099,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Sports,Men Carbon Black Sandal,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product99.jpg,2740,3393,INR,1147,4.6,Puma
SKU000100,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Casual,Men Black Sandal,"{'material': 'Leather', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product100.jpg,3000,3614,INR,790,4.0,Puma
SKU000101,Men,Footwear,Sandal,Sandals,Green,Fall,2010.0,Casual,Men's Trek Olive Green Sandal,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product101.jpg,1986,2744,INR,946,4.2,Puma
SKU000102,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Sports,Men Trek Black Sandal,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product102.jpg,2935,3854,INR,522,4.1,Puma
SKU000103,Men,Footwear,Sandal,Sandals,Grey,Fall,2010.0,Sports,Men Gypsy Grey Sandal,"{'material': 'Mesh', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product103.jpg,1624,2316,INR,976,4.7,Puma
SKU000104,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Casual,Men Cruise Black Sandal,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product104.jpg,1922,2875,INR,478,4.0,Puma
SKU000105,Men,Footwear,Sandal,Sandals,Grey,Fall,2010.0,Sports,Men Grey Sandal,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product105.jpg,2702,3108,INR,637,3.7,Puma
SKU000106,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Casual,Men Carbon Sandal,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product106.jpg,1903,2560,INR,481,3.9,Puma
SKU000107,Men,Footwear,Sandal,Sandals,Black,Fall,2010.0,Sports,Men Gypsy Black Sandal,"{'material': 'Synthetic', 'sizes': 'UK 6, 7, 8, 9, 10, 11'}",product_images/product107.jpg,3124,3515,INR,49,3.8,Puma
SKU000108,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2010.0,Casual,Men's Winglet Grey Navy Flip Flop,"{'material': 'Cotton', 'sizes': 'Free Size'}",product_images/product108.jpg,3258,3570,INR,937,3.8,Puma
SKU000109,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Sports,Men's Drifter Black Green Flip Flops,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product109.jpg,3430,4016,INR,27,4.7,Puma
