sku,ProductDisplayName,brand,category,subcategory,season,usage,price,msrp,currency,attributes,image_url,ratings,review count
SKU000013,Women Boat-Neck Wildberry Sweatshirt,Reebok,Apparel,Topwear,Fall,Sports,2742.82,3693.33,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Pink"", ""material"": ""Polyester"", ""gender"": ""Women""}",reebok_images/item_12.jpg,4.1,1205
SKU000014,Reelive Women Perfumes,Reebok,Personal Care,Fragrance,Spring,Casual,2494.99,3110.46,INR,"{""size"": [""one Size""], ""color"": ""White"", ""material"": null, ""gender"": ""Women""}",reebok_images/item_13.jpg,4.7,1825
SKU000015,Men White Fusion Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,3143.58,4426.93,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_14.jpg,4.1,1354
SKU000016,Men White Ultimate Vibe Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,4201.06,6165.91,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_15.jpg,1.7,485
SKU000017,Men Reespark Deo,Reebok,Personal Care,Fragrance,Spring,Casual,971.07,1132.36,INR,"{""size"": [""one Size""], ""color"": ""Yellow"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_16.jpg,4.4,1931
SKU000018,Men Reespeed Deo,Reebok,Personal Care,Fragrance,Spring,Casual,2685.56,3593.11,INR,"{""size"": [""one Size""], ""color"": ""Black"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_17.jpg,3.9,816
SKU000019,Men Reeplay Perfume & Deodorant Set,Reebok,Personal Care,Fragrance,Spring,Casual,4885.66,6890.04,INR,"{""size"": [""one Size""], ""color"": ""Red"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_18.jpg,4,1532
SKU000020,Men White Acciomax II Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,4360.68,5526.1,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_19.jpg,4.2,948
SKU000021,Men Grey Premier Trinity Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,3198.26,4295.43,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Grey"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_20.jpg,3.9,549
SKU000022,Men's Ventilator Ubiq Shoe,Reebok,Footwear,Shoes,Summer,Sports,1034.6,1187.4,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Brown"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_21.jpg,4.1,1877
SKU000023,Men's Lazor Brown Flip Flop,Reebok,Footwear,Flip Flops,Summer,Casual,2245.56,2749.66,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Brown"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_22.jpg,3.8,641
SKU000024,Men's Frisker LP Shoe,Reebok,Footwear,Shoes,Fall,Sports,3468.72,4128.25,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_23.jpg,3.5,1507
SKU000025,Track Pants Jet Black,Reebok,Apparel,Bottomwear,Fall,Sports,3341.06,4640,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Blue"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_24.jpg,4.7,1299
SKU000026,Men White Acciomax Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,870.36,1099.35,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_25.jpg,4.6,810
SKU000027,Reeplay Men Perfumes,Reebok,Personal Care,Fragrance,Spring,Casual,1270.73,1664.66,INR,"{""size"": [""one Size""], ""color"": ""White"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_26.jpg,3.4,746
SKU000028,Men Grey Ultimate Vibe Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,962.3,1097.48,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Grey"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_27.jpg,4.2,82
SKU000029,Women Zig Sonic Yellow and Grey Sports Shoes,Reebok,Footwear,Shoes,Winter,Sports,2675.08,3387.69,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Yellow"", ""material"": ""Cotton"", ""gender"": ""Women""}",reebok_images/item_28.jpg,4.3,1068
SKU000030,Men's Trail Mud Slinger Black Blue Shoe,Reebok,Footwear,Shoes,Summer,Sports,4195.34,5000.81,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Blue"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_29.jpg,4.2,674
SKU000031,Women Navy Blue Casual Shoes,Reebok,Footwear,Shoes,Summer,Casual,1674.31,2497.39,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Navy Blue"", ""material"": ""Cotton"", ""gender"": ""Women""}",reebok_images/item_30.jpg,4.4,1596
SKU000032,Unisex Red Backpack,Reebok,Accessories,Bags,Summer,Casual,4279.63,4900.04,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Red"", ""material"": ""Mesh"", ""gender"": ""Unisex""}",reebok_images/item_31.jpg,4.1,571
SKU000033,Reegame Men Perfumes,Reebok,Personal Care,Fragrance,Spring,Casual,3071.25,4466.84,INR,"{""size"": [""one Size""], ""color"": ""White"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_32.jpg,3.8,362
SKU000034,Men Chennai Super Kings Deo,Reebok,Personal Care,Fragrance,Spring,Casual,4903.53,6256.66,INR,"{""size"": [""one Size""], ""color"": ""Gold"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_33.jpg,4.3,1136
SKU000035,Men Reeflex Run White Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,4364.49,5238.84,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_34.jpg,3.9,1534
SKU000036,Men Black Fuel Extreme Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,2969.93,3907.83,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Black"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_35.jpg,4.2,62
SKU000037,Men Blue Possession Flip Flops,Reebok,Footwear,Flip Flops,Summer,Casual,2343.56,2791.01,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Blue"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_36.jpg,4.4,1130
SKU000038,Men Black Ultimate Vibe Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,1941.52,2209.74,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Black"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_37.jpg,4.7,1339
SKU000039,Women Pack of 3 Deos,Reebok,Personal Care,Fragrance,Spring,Casual,3282.58,3933.33,INR,"{""size"": [""one Size""], ""color"": ""Silver"", ""material"": null, ""gender"": ""Women""}",reebok_images/item_38.jpg,1.8,97
SKU000040,Men Premier ultra 8 U-form Silver Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,1243.4,1850.86,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Silver"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_39.jpg,4.7,1418
SKU000041,Men's Zigfuel White Shoe,Reebok,Footwear,Shoes,Summer,Sports,3380.86,4992.41,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_40.jpg,3.2,219
SKU000042,Unisex Reezoom Deo,Reebok,Personal Care,Fragrance,Spring,Casual,1134.49,1307.21,INR,"{""size"": [""one Size""], ""color"": ""Red"", ""material"": null, ""gender"": ""Unisex""}",reebok_images/item_41.jpg,4.5,429
SKU000043,Men's Winning Stride White Shoe,Reebok,Footwear,Shoes,Summer,Sports,3938.13,4877.04,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""White"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_42.jpg,4.8,354
SKU000044,Men Pack of 3 Deos,Reebok,Personal Care,Fragrance,Spring,Casual,4741.19,5747.81,INR,"{""size"": [""one Size""], ""color"": ""Black"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_43.jpg,4.7,1436
SKU000045,Men Navy Blue Turbo DMX Shear Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,2032.01,2238.13,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Navy Blue"", ""material"": ""Rubber"", ""gender"": ""Men""}",reebok_images/item_44.jpg,4.7,1116
SKU000046,Unisex Reekick Deo,Reebok,Personal Care,Fragrance,Spring,Casual,3520.34,4634.91,INR,"{""size"": [""one Size""], ""color"": ""Silver"", ""material"": null, ""gender"": ""Unisex""}",reebok_images/item_45.jpg,4.1,1782
SKU000047,Men Raceon White Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,2265.13,3281.9,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""White"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_46.jpg,4.8,704
SKU000048,Women Reebounce Deo,Reebok,Personal Care,Fragrance,Spring,Casual,4906.88,6370.88,INR,"{""size"": [""one Size""], ""color"": ""Pink"", ""material"": null, ""gender"": ""Women""}",reebok_images/item_47.jpg,4.5,1321
SKU000049,Men Grey Swift Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,2876.92,3277.76,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Grey"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_48.jpg,2.3,1955
SKU000050,Men's Zigfuel Black Yellow Shoe,Reebok,Footwear,Shoes,Summer,Sports,4243.15,5770.87,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Black"", ""material"": ""Rubber"", ""gender"": ""Men""}",reebok_images/item_49.jpg,3.9,186
SKU000051,Men Reeavenge Deo,Reebok,Personal Care,Fragrance,Spring,Casual,1002.46,1113.35,INR,"{""size"": [""one Size""], ""color"": ""Black"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_50.jpg,3.9,1951
SKU000052,Men's Apex White Athletic Shoe,Reebok,Footwear,Shoes,Summer,Sports,4175.62,5150.21,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""White"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_51.jpg,4.3,552
SKU000053,Men's Acciomax White Shoe,Reebok,Footwear,Shoes,Summer,Sports,3937.55,5419.99,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_52.jpg,5,1395
SKU000054,Men's Soqua Red Shoe,Reebok,Footwear,Shoes,Summer,Sports,4633.29,5258.77,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Red"", ""material"": ""Rubber"", ""gender"": ""Men""}",reebok_images/item_53.jpg,4.8,271
SKU000055,Men Run Black T-shirt,Reebok,Apparel,Topwear,Fall,Casual,3850.54,4701.7,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Black"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_54.jpg,4.6,1090
SKU000056,Men Black Run Cruise Lp Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,1433.83,1762.15,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Grey"", ""material"": ""Rubber"", ""gender"": ""Men""}",reebok_images/item_55.jpg,4.3,768
SKU000057,Men's Blaze White Shoe,Reebok,Footwear,Shoes,Summer,Sports,4928.17,5759.78,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_56.jpg,4.3,647
SKU000058,Women White Zignano Race Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,2550.09,3749.24,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Women""}",reebok_images/item_57.jpg,4.8,559
SKU000059,Men Sublime Grey T-shirt,Reebok,Apparel,Topwear,Fall,Casual,4023.62,5093.85,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Grey"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_58.jpg,2.9,912
SKU000060,Men Premier road supreme 2 Silver Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,3659.76,5382.86,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Silver"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_59.jpg,4.6,327
SKU000061,Men's Coral Hex Grey Flip Flop,Reebok,Footwear,Flip Flops,Summer,Casual,3815.74,4681.11,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Grey"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_60.jpg,2.9,814
SKU000062,Men White T-shirt,Reebok,Apparel,Topwear,Fall,Casual,2242.36,3307.18,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Rubber"", ""gender"": ""Men""}",reebok_images/item_61.jpg,4.8,676
SKU000063,Men's Blaze White Shoe,Reebok,Footwear,Shoes,Summer,Casual,2846.75,3155.19,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_62.jpg,3.9,1221
SKU000064,Men Grey Swift Chase Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,1282.92,1576.05,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Grey"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_63.jpg,4.5,1707
SKU000065,Men's Blaze White Black Shoe,Reebok,Footwear,Shoes,Summer,Casual,4890.08,7248.63,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_64.jpg,5,20
SKU000066,Men Frisky Attraction Grey Shoe,Reebok,Footwear,Shoes,Summer,Sports,2148.16,2424.32,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Grey"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_65.jpg,4.5,1449
SKU000067,Men Star White Polo T-shirt,Reebok,Apparel,Topwear,Fall,Casual,2972.54,3875.29,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_66.jpg,4.8,749
SKU000068,Men Runtone Action White Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,4394.26,6164.78,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_67.jpg,4.7,107
SKU000069,Women Instant White Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,4899.7,7069.75,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""White"", ""material"": ""Polyester"", ""gender"": ""Women""}",reebok_images/item_68.jpg,3.6,806
SKU000070,Women Black Zignano Race Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,3561.33,5134.51,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Black"", ""material"": ""Polyester"", ""gender"": ""Women""}",reebok_images/item_69.jpg,4.7,1636
SKU000071,Men Dragon Grey T-shirt,Reebok,Apparel,Topwear,Fall,Casual,4729.51,5358.01,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Grey"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_70.jpg,4.8,1853
SKU000072,Men Heather Grey T-shirt,Reebok,Apparel,Topwear,Fall,Casual,4582.06,6419.53,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Grey"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_71.jpg,4.3,813
SKU000073,Men Black Ultralite Drama Shoes,Reebok,Footwear,Shoes,Summer,Casual,2004.48,2256.45,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Black"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_72.jpg,4.9,1936
SKU000074,Men Premier Zigfly Silver Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,2431.83,2984.66,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Silver"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_73.jpg,5,1014
SKU000075,Men White Swift Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,4808.14,5752.01,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""White"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_74.jpg,4.8,1591
SKU000076,Men's Trail Surpant Black Orange Shoe,Reebok,Footwear,Sandal,Summer,Sports,1396.87,1733.8,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Black"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_75.jpg,4.4,1054
SKU000077,Men Grey Realflex Optimal Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,3479.67,4070.29,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Grey"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_76.jpg,4.6,870
SKU000078,Men Black Backpack,Reebok,Accessories,Bags,Summer,Casual,2275.98,3375.87,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Black"", ""material"": ""Leather"", ""gender"": ""Unisex""}",reebok_images/item_77.jpg,1.5,1876
SKU000079,Men White Active Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,1468.85,1646.07,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""White"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_78.jpg,4.1,1303
SKU000080,Men Buckets VI Black Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,3858.43,4324.74,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Black"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_79.jpg,4.2,542
SKU000081,Men Navy Blue Varsity Casual Shoes,Reebok,Footwear,Shoes,Summer,Casual,2327.51,3328.45,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Navy Blue"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_80.jpg,4.6,887
SKU000082,Men's Star Black Polo T-shirt,Reebok,Apparel,Topwear,Fall,Casual,4812.41,6857.48,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Black"", ""material"": ""Synthetic"", ""gender"": ""Men""}",reebok_images/item_81.jpg,4.6,94
SKU000083,Men Charcoal Realflex Breeze Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,2674.33,3977.08,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Charcoal"", ""material"": ""Nylon"", ""gender"": ""Men""}",reebok_images/item_82.jpg,4,1966
SKU000084,Men's Casual Black Slipper,Reebok,Footwear,Flip Flops,Summer,Casual,3134.68,4258.44,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Black"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_83.jpg,4.9,82
SKU000085,Men Truth or Dare Red T-shirt,Reebok,Apparel,Topwear,Fall,Casual,899.03,1263.77,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Red"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_84.jpg,5,271
SKU000086,Men Plum Shiamak Purple T-shirt,Reebok,Apparel,Topwear,Fall,Casual,2674.81,4000.21,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Purple"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_85.jpg,4.6,133
